Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-01,10840,10840,10780,10810,10830,10830,10850,10840,10840,10830,10750,10710,10770,10870,10970,10840,6650,4920,4250,4220,4290,4390,4310,4340,4290,4280,4340,4310,4310,4290,4320,4290,4350,4270,4350,4480,4820,4810,4670,4760,4870,4830,4830,4780,4840,4760,4870,4870,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-02,4790,4660,4870,4870,4870,4880,4840,4740,4870,4770,4790,4760,6090,6700,5810,5810,5790,5820,5770,5830,5820,5810,5850,5830,5790,5830,5790,5840,5730,5780,5790,5890,5850,5850,5800,5790,5780,5810,5800,5780,6670,10310,10770,10820,10820,10860,10870,10800,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-03,10800,10870,10810,10840,10850,10810,10800,10840,10840,10790,10830,10810,10840,10840,10820,10820,10840,10810,10850,10830,10810,10830,10790,10830,10780,10420,10330,10340,10330,10330,10340,10330,10320,10330,10300,10340,10260,10340,10300,10350,10330,10360,10660,10770,10780,10810,10920,10840,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-04,10850,10750,10840,10840,10790,10850,10830,10750,10830,10880,10890,10830,10830,10780,10880,10830,10800,10790,10320,10320,10310,10340,10340,10290,10290,10340,10330,10310,10360,10300,10330,10310,10320,10330,10320,10320,10330,10310,10310,10340,10340,10330,10350,10290,10250,10460,10460,10180,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-05,10280,10340,10380,10320,10300,10380,10330,10270,10350,10470,10320,10260,10260,10370,10350,10330,10280,10330,10320,10320,10290,10320,10270,10330,10340,10270,10250,10320,10340,10330,10250,10340,10330,10340,10260,10330,10350,12670,14290,14310,14270,14310,14310,14310,14300,14250,14300,14290,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-06,14320,14320,14310,14250,14310,14300,14310,14310,14310,14310,14300,14280,14330,14250,14280,14290,14300,14300,14310,14310,14250,14310,14260,14290,14270,14310,14300,14300,14290,14320,14270,14330,14180,14380,14320,14310,14280,14310,17340,22100,22180,22220,22180,22150,22140,22210,22200,22170,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-07,22190,22190,22180,22150,22140,22150,22170,22200,22210,22220,22210,22200,22140,21630,20640,20690,20770,20620,20710,20740,20660,20720,20700,20690,20670,20680,20710,20660,20680,20650,20640,20740,20680,23580,23190,23150,23190,26160,27630,26630,26630,26660,26620,26670,26650,26710,26680,22020,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-08,22140,21750,21680,21700,21690,21660,21660,21700,21660,21690,21690,21690,23130,27300,28090,27530,22680,22640,22840,23200,23140,23150,23150,23130,23130,23140,23030,23220,23120,23110,23180,23140,23060,24480,25110,25150,25110,26310,26770,27090,27150,27110,27170,27020,27010,27170,27230,27050,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-09,17540,14610,14790,14790,14770,12800,12300,12340,12320,12280,12320,12330,12330,12300,17120,26520,25650,25580,25560,25610,25620,25630,25580,23660,21110,21160,21190,21190,21140,21150,21120,21090,21160,25440,26110,26100,26150,26290,26590,26610,27540,27630,28110,28100,28050,28130,28040,28120,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-10,28210,28130,28100,28090,28130,28120,28060,28150,28130,28120,28080,28140,28050,27720,27670,27400,27710,27590,16000,14830,14770,14820,14790,14790,14730,14810,14760,14780,14760,14810,14780,14760,15000,15110,24550,24630,24600,26660,28110,28120,28120,28140,28080,28160,28540,28520,28550,28450,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-11,28480,28500,28470,28470,28450,28450,28470,28420,28450,28450,28420,28440,28420,28400,28420,28390,28400,28320,27060,27140,27080,27080,27110,27160,26990,27130,27150,26640,25140,25140,24250,24130,24160,27430,27590,27610,27570,27620,27350,26420,21740,21760,21740,21540,21550,21690,21750,21770,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-12,21550,21740,21060,20620,20760,18830,13820,13820,13820,13790,13860,13750,16610,22760,22680,22700,23070,25870,26130,26190,27520,28540,27170,27870,28440,28530,28570,28570,28400,28530,28530,28580,28480,28560,28600,28600,28910,28990,29000,28990,28980,28970,28940,28950,28960,28960,28950,28950,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-13,28940,28930,28910,28910,28890,28880,28870,28860,28820,28820,28810,28790,28750,27170,27160,26780,24210,23880,23060,23170,23200,23140,13910,13390,13270,13310,13280,13300,13280,13300,13300,13300,13290,23030,22880,22700,22660,22670,13530,13290,13280,13260,13330,13290,13310,13250,13340,13280,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-14,13030,12320,12320,12280,12320,12330,12330,12370,11390,10340,10320,10340,10350,10350,10370,10360,10400,10340,10370,10320,10350,10340,10340,10330,10330,10300,10290,10300,10330,10310,10320,10330,12010,14070,14270,14300,14270,14280,14310,14320,14310,14260,14320,14270,14270,14150,14360,14330,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-15,13570,12850,12770,12880,12830,12820,12780,12820,12900,12800,12800,12820,12790,14980,24150,23990,24120,24180,24040,24780,28250,27820,27630,27600,27610,27510,27600,27580,27530,27610,27680,28950,28760,28600,28600,28590,28700,29050,29050,29070,29040,29070,29070,29060,29080,29080,29070,29060,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-16,29060,29070,29080,29060,29040,29030,29030,29030,29020,29010,28990,29000,28990,28990,28980,28950,28960,28930,28940,28930,28700,28730,17250,14710,14670,14710,14710,14730,14730,14710,14710,14700,14730,14730,14730,24650,28750,28870,28900,28960,29010,29060,29080,29110,29120,29130,29150,29150,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-01-17,29150,29150,29160,29140,29150,29130,29120,29100,29080,29090,29060,29030,29040,29030,29030,28960,16580,14770,14740,14770,14760,14780,14750,14740,14710,14780,26690,28140,28020,28090,28250,28360,28190,28300,28430,28520,28580,28630,28700,28750,28810,28840,28860,28860,28830,28840,28820,28810,,
