POC,Nwk_Code,Generation_Type,Trader,Unit_Measure,Flow_Direction,Status,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-01,51475.0000,55258.0000,49978.0000,53308.0000,49963.0000,51138.0000,57622.0000,58363.0000,56734.0000,55668.0000,51805.0000,49448.0000,33736.0000,23048.0000,2015.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20734.0000,43577.0000,62205.0000,80023.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-02,79376.0000,100076.0000,96081.0000,105968.0000,103789.0000,98104.0000,98509.0000,95549.0000,81730.0000,62164.0000,45771.0000,19428.0000,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14011.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-03,18702.0000,27219.0000,57213.0000,63574.0000,32251.0000,32167.0000,46512.0000,55497.0000,59573.0000,53404.0000,30774.0000,13311.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7565.0000,25282.0000,33306.0000,111557.0000,109233.0000,198615.0000,215515.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-04,182550.0000,188871.0000,210378.0000,207090.0000,206839.0000,196126.0000,183496.0000,200337.0000,196079.0000,181879.0000,151547.0000,119660.0000,66085.0000,46600.0000,9630.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,319.0000,10064.0000,0.0000,417.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3902.0000,4584.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2086.0000,49431.0000,96453.0000,152639.0000,178385.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-05,220153.0000,227628.0000,213999.0000,195845.0000,190878.0000,184815.0000,179154.0000,175483.0000,159582.0000,133940.0000,92393.0000,35259.0000,8945.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1224.0000,4614.0000,5681.0000,30876.0000,40595.0000,65954.0000,88153.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-06,111716.0000,94697.0000,89969.0000,59538.0000,77669.0000,81519.0000,93159.0000,93761.0000,90818.0000,84692.0000,70321.0000,53247.0000,29491.0000,30284.0000,18346.0000,23074.0000,1952.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13994.0000,15780.0000,17134.0000,17052.0000,13275.0000,17064.0000,12591.0000,746.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14612.0000,19464.0000,22763.0000,31084.0000,62985.0000,97338.0000,134117.0000,130426.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-07,151735.0000,159923.0000,165296.0000,160178.0000,162964.0000,160944.0000,164299.0000,162547.0000,167298.0000,168401.0000,158786.0000,131608.0000,130585.0000,122638.0000,94477.0000,99239.0000,60222.0000,34002.0000,13352.0000,593.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3867.0000,19258.0000,19792.0000,23518.0000,23282.0000,21764.0000,18118.0000,1237.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16284.0000,24578.0000,40602.0000,92872.0000,103347.0000,108539.0000
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-08,114382.0000,120013.0000,122593.0000,104593.0000,102274.0000,100933.0000,107123.0000,108429.0000,107405.0000,71682.0000,78671.0000,53789.0000,3535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1454.0000,12677.0000,28573.0000,66648.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-09,90837.0000,105353.0000,106084.0000,114019.0000,106561.0000,115148.0000,126363.0000,132105.0000,139569.0000,99135.0000,81680.0000,41020.0000,17516.0000,16238.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16460.0000,47644.0000,79428.0000,111712.0000,128336.0000,,
BEN2201,TPNZ,DC,TPNZ,kWh,I,F,2024-04-10,107012.0000,139051.0000,157941.0000,159232.0000,173375.0000,173169.0000,172530.0000,161802.0000,163375.0000,145650.0000,107885.0000,37517.0000,30385.0000,26429.0000,1076.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14448.0000,28852.0000,31687.0000,19873.0000,,
