X,Y,OBJECTID,MXLOCATION,type,status,description,GlobalID
1750929.0001,5932699.0001,1,ALB,ACSTN,COMMISSIONED,Albany,05895f02-390a-4cfc-bdbc-a55912c50c50
1483256.0001,5243850.0001,2,APS,ACSTN,COMMISSIONED,Arthurs Pass,ceb0ce51-3d0b-4978-9eb2-3147820f74bc
1873657.0001,5721161.0001,3,ARA,ACSTN,COMMISSIONED,Aratiatia,6ccc5d5d-ccd2-4bf0-8cd6-634ccfa6e232
1616837.0001,5386748.0001,4,ARG,ACSTN,COMMISSIONED,Argyle,a3e5b514-53f2-496a-9597-917d05064d29
1831847.0001,5782925.0001,5,ARI,ACSTN,COMMISSIONED,Arapuni,efa8496c-f3ae-4b0c-9194-ba9ca4b2527a
1503871.0001,5133909.0001,6,ASB,ACSTN,COMMISSIONED,Ashburton,94e73fc9-4cb3-4047-8b08-119b0ea9ea47
1569375.0001,5209968.0001,7,ASY,ACSTN,COMMISSIONED,Ashley,591f1a64-1ff1-40f3-b578-5d90e70d47e2
1863993.0001,5746266.0001,8,ATI,ACSTN,COMMISSIONED,Atiamuri,5591dce5-08c4-4a3f-90c5-74d5e86596eb
1424397.0001,5097843.0001,9,ABY,ACSTN,COMMISSIONED,Albury,8e8d5ff4-686c-41a0-be4b-fde8292c155f
1567884.0001,5179259.0001,10,ADD,ACSTN,COMMISSIONED,Addington,9a32a693-3795-4915-a843-b4305398b40a
1479770.0001,5314014.0001,11,ATU,ACSTN,COMMISSIONED,Atarau,5ab9db1c-afe1-42ef-b89b-f78ba4e984a7
1390245.0001,5051586.0001,12,AVI,ACSTN,COMMISSIONED,Aviemore,d0b7f1de-ae0c-4035-82db-cfb9a71bc2b3
1350994.0001,4875583.0001,13,BAL,ACSTN,COMMISSIONED,Balclutha,774da9e9-fce1-4648-9cba-5a688658f83c
1279333.0001,4872602.0001,14,BDE,ACSTN,COMMISSIONED,Brydone,b624d4d5-5eb3-4648-9103-303169671b40
1377232.0001,5061385.0001,15,BEN,ACSTN,COMMISSIONED,Benmore AC,cd6311e0-e83d-4007-9a22-e9f90488583d
1677835.0001,5405479.0001,16,BLN,ACSTN,COMMISSIONED,Blenheim,cccf466d-403e-4e50-ba10-2e31166d4641
1777554.0001,5882318.0001,17,BOB,ACSTN,COMMISSIONED,Bombay,c186f729-6e99-42b6-aae7-1dccc7a316f6
1774444.9101,5906262.7201,18,BHL,ACSTN,COMMISSIONED,Brownhill Road,7f2ecf54-6603-44d9-8be1-eb81dbfb88c4
1438716.0001,5027527.0001,19,BPD,ACSTN,COMMISSIONED,Bells Pond,636a0f3a-a928-43c2-a8cd-357429138a2b
1824482.0001,5537672.0001,20,BPE,ACSTN,COMMISSIONED,Bunnythorpe,9fbaceba-96f7-4a43-829d-70c8a0698fea
