Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-01,9070,7880,8260,8260,8380,8350,8330,8500,8190,8290,8770,8460,8200,8190,8090,8080,7950,8140,8270,8150,8200,8010,7890,8070,8060,8130,8070,8090,8060,8120,8090,8080,8040,8130,8120,8090,8080,8040,8070,8090,8020,8090,8080,8050,8130,7970,8170,8060,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-02,7970,8370,8010,8120,8100,8140,8090,8070,8150,8120,8030,8170,8000,8110,8010,7750,7750,7830,7800,7810,6330,7780,7790,7800,6320,8070,8060,8000,5860,8060,7980,7840,7990,8050,8060,8020,8040,8070,8010,8030,8080,8020,8070,8040,8060,8110,8140,8050,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-03,8100,8140,8040,8100,8270,8220,8100,8030,8110,8060,8150,8030,8100,8120,8000,8030,8040,8120,8040,8050,6230,9790,8470,7790,6450,7870,7670,7880,8090,8700,8780,8880,8690,8030,7790,7850,7760,7790,7770,7820,7780,7770,7880,7820,7840,7830,7820,7800,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-04,7850,7860,7890,7860,7870,7850,8000,8080,8140,8040,8120,8130,8090,8070,8070,7930,8080,8070,8070,8110,7990,8040,7760,7850,7780,7830,7780,7860,7800,7820,7850,7760,7830,7840,10690,25410,25670,25470,25570,23100,8530,9720,11730,10070,8340,8340,8240,7860,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-05,7820,7840,7820,7850,7830,7840,7830,7840,7810,7840,7820,8120,8980,22890,30140,32470,32550,32460,26270,18700,8160,8500,7850,7840,7830,7860,7780,7860,7840,7840,7840,7860,7820,7840,7850,7760,7820,7790,7800,7820,7810,7800,7850,7820,7820,7860,7810,7840,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-06,7850,7850,7820,7840,7820,7850,7840,7820,7820,7850,7810,7770,7830,7850,7830,7720,7830,7850,7820,7790,7830,7840,7840,7830,7820,7850,7820,7840,7840,7810,7870,7840,7790,7800,7790,7930,7810,7810,7830,7800,7850,7830,7880,7830,7840,7820,7860,7820,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-07,7880,7870,7820,7870,7860,7870,7860,7870,7840,8170,8050,8130,8100,8100,8080,8110,8080,8180,8060,8070,8140,8070,8110,8070,8100,8080,8090,8070,8120,8110,7990,7830,7860,7860,7850,7750,7800,7820,7830,7860,7870,7840,7800,7910,7820,7890,7900,7880,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-08,7820,7900,7860,7810,7860,7850,7870,7850,7850,7760,7990,7790,7830,7590,7620,7680,8120,8090,8060,8020,7090,7860,7830,7820,7840,7840,7840,7850,7800,7880,7780,7830,7900,7790,7870,7810,7840,7830,7800,7830,7830,7830,7860,7810,8250,8050,8060,8080,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-09,8130,8080,8070,8120,8120,8080,8130,8060,8070,8010,8130,8220,8050,8000,8100,7970,7970,7810,7810,7810,7830,7810,7730,7820,7800,7820,7810,7780,7790,7830,7790,7820,7800,7730,7860,7820,7870,7700,7820,7790,7800,7780,7870,7840,7890,7840,7880,7810,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2024-09-10,7880,7850,7880,7850,7850,7860,7880,7870,7870,7860,8250,8060,8040,7920,8070,8110,8050,8050,8060,7990,8070,8070,8050,7990,8040,8040,8060,8080,8030,8080,8040,8020,8140,7960,8110,8050,8010,8020,8080,8050,7980,7800,7820,7740,7820,7810,7830,7850,,
