OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,GlobalID,Shape__Length
1,AHA-DOB-A,66,COMMISSIONED,Arahura - Dobson A,TRANSLINE,66 TRANSLINE,ad252f27-d328-4466-accb-0a0503a74c25,8857.46549677658
2,AHA-DOB-A1-CBL,66,COMMISSIONED,AHA-DOB-A1-CBL Section,CABLE,66 CABLE,6aea6915-9bcc-469a-a3c7-d1df360164ed,470.196468692008
3,AHA-OTI-A,66,COMMISSIONED,Arahura - Otira A,TRANSLINE,66 TRANSLINE,fb5181f7-6a47-452d-97ac-3b555a4295cf,63423.273782818
4,ALB-HPI-A,220,COMMISSIONED,Albany - Huapai A,TRANSLINE,220 TRANSLINE,ff2a1dc5-0720-458a-9214-00f50fc51e72,14887.8050679823
5,ALB-SVL-A,220,COMMISSIONED,Albany - Silverdale A,TRANSLINE,220 TRANSLINE,f8d577c9-7441-4b1a-9e2a-8bbbc83b3b9a,14346.2632928135
6,ALB-WRD-C-CBL,220,COMMISSIONED,Albany - Wairau Road Cable C,CABLE,220 CABLE,ab7b3122-6951-4ede-b56d-1baac89e1248,8372.8233808627
7,ARA-WRK-A,220,COMMISSIONED,Aratiatia - Wairakei A,TRANSLINE,220 TRANSLINE,ed1fee44-c065-44b5-9832-5a2f1ed4cfca,4564.26499099791
8,ARI-EDG-A,110,COMMISSIONED,Arapuni - Edgecumbe A,TRANSLINE,110 TRANSLINE,3361ac33-fa03-4982-99e2-2de517bda187,80565.5913610447
9,ARI-EDG-B,110,COMMISSIONED,Arapuni - Edgecumbe B,TRANSLINE,110 TRANSLINE,4083e160-c20a-4e42-8c64-c5fdfc5c02dd,79576.3763705375
10,ARI-HAM-A,110,COMMISSIONED,Arapuni - Hamilton A,TRANSLINE,110 TRANSLINE,5d15f6f3-1cc0-4f07-92d0-f28489cc4ed8,47284.4555089988
11,ARI-HAM-B,110,COMMISSIONED,Arapuni - Hamilton B,TRANSLINE,110 TRANSLINE,a3f06ca1-ddde-4e78-b887-3616187420ed,47311.4552966308
12,ARI-ONG-A,110,COMMISSIONED,Arapuni - Ongarue A,TRANSLINE,110 TRANSLINE,e3bac302-e34e-427d-b608-d4cafbbc1344,40712.8096978264
13,ARI-ONG-B,110,COMMISSIONED,Arapuni - Ongarue B,TRANSLINE,110 TRANSLINE,d0ca5a66-a52c-48b1-95c5-0b7ba3b1d7d0,91908.7900297274
14,ASH-TIM-A,110,COMMISSIONED,Ashburton - Timaru A,TRANSLINE,110 TRANSLINE,f280178e-3784-4854-918c-f37a9d35acf4,17988.6676817011
15,ASH-TIM-B,110,COMMISSIONED,Ashburton - Timaru B,TRANSLINE,110 TRANSLINE,1bb6897f-7b80-45a4-8a62-f21b9dab8814,15729.8074014066
16,ASY-DEV-A,66,COMMISSIONED,Ashley - Deviation A,TRANSLINE,66 TRANSLINE,f6479e1a-7820-4c8e-a549-06bb9e0d6e7d,3926.11206886965
18,ATI-TRK-A,220,COMMISSIONED,Atiamuri - Tarukenga A,TRANSLINE,220 TRANSLINE,137437cd-ff98-42aa-a84f-e68135bab2cb,44623.7434524003
19,AVI-BEN-A,220,COMMISSIONED,Aviemore - Benmore A,TRANSLINE,220 TRANSLINE,05f68911-484a-47df-80e8-c02191d45718,18421.5932965758
20,AVI-LIV-A,220,COMMISSIONED,Aviemore - Livingstone A,TRANSLINE,220 TRANSLINE,e40bae32-d80b-4c90-9cac-7edebbf155f6,40647.2477991817
21,BAL-DEV-A,110,COMMISSIONED,Balclutha - Deviation A,TRANSLINE,110 TRANSLINE,f86d7856-dfda-4a2c-81c8-2d1ae6eca5d3,13326.6244267607
22,BDE-DEV-A,110,COMMISSIONED,Brydone - Deviation A,TRANSLINE,110 TRANSLINE,ec127e00-19fa-45c3-8ba6-58c4c6d7ed8c,3400.88376759842
23,BEN-BGR-A,0,COMMISSIONED,Benmore - Bog Roy A,TRANSLINE,0 TRANSLINE,1062bf12-0cf2-4c32-a192-b706d90a8d1c,7499.67955599584
24,BEN-HAY-A,350,COMMISSIONED,Benmore - Haywards A,TRANSLINE,350 TRANSLINE,b31d4f1f-4c4d-443b-90f6-43b653ac22c5,552374.453671458
25,BEN-ISL-A,220,COMMISSIONED,Benmore - Islington A,TRANSLINE,220 TRANSLINE,eeafa594-99f1-47ea-920c-ae3e4e190da5,265487.81541037
26,BEN-TWZ-A,220,COMMISSIONED,Benmore - Twizel A,TRANSLINE,220 TRANSLINE,d5dd0ebf-79f5-49ef-9523-cfce1d38ce91,39676.167125368
27,BHL-PAK-A-CBL,220,COMMISSIONED,Brownhill - Pakuranga A,CABLE,220 CABLE,e458c4d8-07a0-446e-a806-021466b7bbe5,10794.1998390722
28,BHL-PAK-B-CBL,220,COMMISSIONED,Brownhill - Pakuranga B,CABLE,220 CABLE,dbb7429d-341a-4b74-9474-dcf81f9701fb,10867.2403833268
29,BKD-HOR-A,66,COMMISSIONED,Brackendale - Hororata A,TRANSLINE,66 TRANSLINE,a64c92e6-3e40-45bc-9334-79c82483b928,14220.2917400142
30,BLN-KIK-A,110,COMMISSIONED,Blenheim - Kikiwa A,TRANSLINE,110 TRANSLINE,5101b8c2-cfec-4eaa-82aa-5bc960951e24,108438.234798206
31,BLN-STK-A,110,COMMISSIONED,Blenheim - Stoke A,TRANSLINE,110 TRANSLINE,c2485002-6ed9-4dc3-a40e-98def344b9c8,77020.0922988672
32,BOB-MER-A,110,COMMISSIONED,Bombay - Meremere A,TRANSLINE,110 TRANSLINE,4add4fbe-7173-4b9c-9f4f-d71d108c03ba,15964.9305872074
33,BPD-TEE-A,110,COMMISSIONED,Bells Pond - Tee A,TRANSLINE,110 TRANSLINE,33c72e70-fbff-40ff-bfa4-e722ed9eca0e,571.026342665087
34,BPE-HAY-A,220,COMMISSIONED,Bunnythorpe - Haywards A,TRANSLINE,220 TRANSLINE,66257b1c-7c82-47b8-b4f5-4be07dd82c0c,120001.562011871
35,BPE-HAY-B,220,COMMISSIONED,Bunnythorpe - Haywards B,TRANSLINE,220 TRANSLINE,debcbb3f-38d2-4e6c-8610-01171dc80d30,119757.630662815
36,BPE-MHO-A,110,COMMISSIONED,Bunnythorpe - Mangahao A,TRANSLINE,110 TRANSLINE,13419167-4d97-4a76-9490-9148cda33774,42494.0220285913
37,BPE-MHO-B,110,COMMISSIONED,Bunnythorpe - Mangahao B,TRANSLINE,110 TRANSLINE,7e2c6f1f-17b7-40a4-98b3-15e067ee4115,38523.2186394358
38,BPE-WDV-B,110,COMMISSIONED,Bunnythorpe - Woodville B,TRANSLINE,110 TRANSLINE,5c288d28-dd58-4914-80e8-70508dd4f1a8,22395.3122052334
