name,site,zone,island,volts,X,Y,long,lat
Albury,ABY,LSI,SI,11,1424397,5097843,170.800433,-44.251476
Addington,ADD,USI,SI,11,1567884,5179259,172.602487,-43.538924
Arahura,AHA,USI,SI,11,1436219,5271631,171.000667,-42.690363
Albany,ALB,UNI,NI,33,1750929,5932699,174.690466,-36.739446
Arohena,ANA,CNI,NI,11,1830160,5769602,175.628145,-38.192133
Arthurs Pass,APS,USI,SI,11,1483256,5243850,171.568898,-42.949046
Aratiatia,ARA,CNI,NI,220,1873657,5721161,176.143036,-38.615882
Argyle,ARG,USI,SI,110,1616837,5386748,173.202263,-41.670851
Arapuni,ARI,CNI,NI,110,1831847,5782925,175.643058,-38.071752
Ashburton,ASB,USI,SI,66,1503871,5133909,171.802173,-43.941664
Ashley,ASY,USI,SI,11,1569375,5209968,172.622662,-43.262475
Atiamuri,ATI,CNI,NI,220,1863993,5746266,176.022721,-38.392877
Atarau,ATU,USI,SI,110,1479770,5314014,171.541011,-42.316838
Aviemore,AVI,LSI,SI,220,1390245,5051586,170.354335,-44.658443
Balclutha,BAL,LSI,SI,33,1350994,4875583,169.770868,-46.227704
Brydone,BDE,LSI,SI,11,1279333,4872602,168.841744,-46.224475
Bells Pond Tee,BDT,,,,1438546,5027023,170.955332,-44.891912
Benmore AC,BEN,LSI,SI,220,1377232,5061385,170.194639,-44.566415
Benmore DC,BEN-DC,,,,1376975,5061566,170.191485,-44.564708
Bog Roy Electrode,BGR,,,,1369653,5060307,170.098839,-44.573721
Brownhill Road,BHL,,,,1774445,5906263,174.959798,-36.973589
Brackendale,BKD,,,,1504165,5176927,171.813511,-43.554456
Blenheim,BLN,USI,SI,33,1677835,5405479,173.932545,-41.498532
Bombay,BOB,UNI,NI,110,1777554,5882318,175.00037,-37.188721
Black Point Tee,BPC,,,,1425912,5029886,170.796432,-44.863183
Bells Pond,BPD,LSI,SI,110,1438716,5027527,170.957644,-44.887417
Bunnythorpe,BPE,LNI,NI,33,1824482,5537672,175.64055,-40.281325
Black Point,BPT,LSI,SI,110,1426227,5027119,170.799467,-44.888151
Bream Bay,BRB,UNI,NI,33,1733637,6031785,174.479885,-35.849032
Brunswick,BRK,LNI,NI,33,1775381,5584691,175.05064,-39.869711
Bromley,BRY,USI,SI,66,1575608,5180029,172.698124,-43.532284
Berwick,BWK,LSI,SI,110,1375380,4908481,170.10221,-45.940489
Cairnbrae,CBE,USI,SI,33,1494059,5164162,171.685924,-43.667997
Cambridge,CBG,CNI,NI,11,1818482,5805622,175.483933,-37.870705
Christchurch Tee,CHH,USI,SI,,1561600,5173630,172.524312,-43.58931
Castle Hill,CLH,USI,SI,11,1496824,5214719,171.729771,-43.213264
Cromwell,CML,LSI,SI,33,1300103,5003434,169.191025,-45.059002
Cobb,COB,USI,SI,66,1577544,5451620,172.73264,-41.086375
Coleridge,COL,USI,SI,11,1480646,5197734,171.526974,-43.363773
Central Park,CPK,LNI,NI,11,1748149,5426363,174.769577,-41.300595
